Date,Close
201902,11
201901,3
201812,8
201811,7
201810,9
201809,9
201808,5
201807,25
201806,20
201805,27
201804,22
201803,20
201802,4
201801,1
201712,5
201711,5
201710,6
201709,12
201708,10
201707,2
201706,2
201705,12
201704,4
201703,8
201702,4
201701,4
201612,9
201611,2
201610,12
201609,18
201608,8
201607,11
201606,4
201605,11
201604,11
201603,13
201602,6
201601,3
201512,13
201511,8
201510,1
201509,7
201508,7
201507,9
201506,8
201505,11
201504,2
201503,4
201502,3
201501,0
