Date,Open,High,Low,Close,Volume
2019/02/01,2211.93,2218.78,2205.94,2205.94,197489
2019/01/31,2222.88,2222.88,2201.22,2204.85,545247
2019/01/30,2183.49,2206.2,2177.88,2206.2,480390
2019/01/29,2172.83,2183.36,2162.53,2183.36,552586
2019/01/28,2184.41,2188.15,2169.17,2177.3,371618
2019/01/25,2147.92,2178.01,2146.64,2177.73,410001
2019/01/24,2127.88,2145.08,2125.48,2145.03,413652
2019/01/23,2108.72,2131.05,2106.74,2127.78,408600
2019/01/22,2126.03,2129.37,2108.91,2117.77,419441
2019/01/21,2133.87,2134.17,2114.45,2124.61,398034
2019/01/18,2116.43,2124.5,2113.44,2124.28,456737
2019/01/17,2110.14,2117.43,2101.7,2107.06,475884
2019/01/16,2098.65,2106.35,2091.92,2106.1,500078
2019/01/15,2069.14,2098.01,2067.58,2097.18,439488
2019/01/14,2070.49,2073.94,2059.46,2064.52,432890
2019/01/11,2070.36,2076.99,2063.99,2075.57,380061
2019/01/10,2065.73,2072.81,2057.16,2063.28,382877
2019/01/09,2034.19,2068.23,2034.19,2064.71,386247
2019/01/08,2038.68,2042.7,2023.59,2025.27,397831
2019/01/07,2034.24,2048.06,2030.9,2037.1,440191
2019/01/04,1992.4,2011.56,1984.53,2010.25,408990
2019/01/03,2011.81,2014.72,1991.65,1993.7,427976
2019/01/02,2050.55,2053.45,2004.27,2010,326367
2018/12/28,2036.7,2046.97,2035.41,2041.04,352677
2018/12/27,2032.09,2035.57,2021.39,2028.44,398021
2018/12/26,2028.81,2037.83,2014.28,2028.01,321499
2018/12/24,2050.38,2059.94,2046.18,2055.01,285275
2018/12/21,2052.7,2061.51,2049.76,2061.49,311388
2018/12/20,2063.7,2071.08,2047.52,2060.12,421064
2018/12/19,2068.95,2080.65,2063.01,2078.84,418796
2018/12/18,2057.39,2074.31,2054.26,2062.11,429530
2018/12/17,2071.21,2075.93,2065.51,2071.09,444522
2018/12/14,2095.64,2095.64,2061.4,2069.38,448237
2018/12/13,2087.43,2104.43,2084.37,2095.55,379818
2018/12/12,2062.77,2084.77,2061.13,2082.57,457126
2018/12/11,2058.16,2060.94,2047.17,2052.97,273932
2018/12/10,2048.45,2061.78,2043.21,2053.79,344164
2018/12/07,2081.68,2086.84,2065.62,2075.76,371590
2018/12/06,2094.62,2094.62,2064,2068.69,537409
2018/12/05,2086.57,2107.69,2086.57,2101.31,492716
2018/12/04,2125.67,2128.94,2105.45,2114.35,507517
2018/12/03,2127.78,2136.64,2113.6,2131.93,436588
2018/11/30,2116.83,2122.33,2093.83,2096.86,427354
2018/11/29,2133.95,2136.74,2108.9,2114.1,307230
2018/11/28,2104.13,2108.65,2094.32,2108.22,300075
2018/11/27,2091.75,2102.29,2079.49,2099.42,239211
2018/11/26,2060.17,2083.96,2060.17,2083.02,237710
2018/11/23,2073.26,2075.91,2047.96,2057.48,227202
2018/11/22,2079.01,2081.75,2066.2,2069.95,242498
2018/11/21,2057.07,2077.49,2049.76,2076.55,267903
2018/11/20,2074.67,2089.54,2074.67,2082.58,281685
2018/11/19,2096.13,2111.39,2089.37,2100.56,273198
2018/11/16,2097.94,2103.11,2086.54,2092.4,301604
2018/11/15,2061.47,2088.61,2058.73,2088.06,351042
2018/11/14,2071.41,2075.12,2060.86,2068.05,339046
2018/11/13,2047.62,2072.03,2032.05,2071.23,383421
2018/11/12,2065.92,2087.24,2065.52,2080.44,295528
2018/11/09,2093.89,2101.92,2082.47,2086.09,298072
2018/11/08,2109.97,2120.88,2092.36,2092.63,328034
2018/11/07,2090.32,2107.63,2072.48,2078.69,485225
2018/11/06,2085.81,2092.61,2068.59,2089.62,315816
2018/11/05,2079.81,2080.49,2052.67,2076.92,361302
2018/11/02,2046.61,2096.63,2044.94,2096,371978
2018/11/01,2035.11,2054.22,2023.43,2024.46,343813
2018/10/31,2022.84,2030.5,2006.63,2029.69,373027
2018/10/30,1985.95,2028.84,1985.95,2014.69,441585
2018/10/29,2026.68,2045.76,1993.77,1996.05,427304
2018/10/26,2066.57,2066.57,2008.86,2027.15,449197
2018/10/25,2046.67,2066.06,2033.81,2063.3,376014
2018/10/24,2119.19,2121.36,2092.1,2097.58,399734
2018/10/23,2147.3,2148.8,2094.69,2106.1,373468
2018/10/22,2143.08,2163.21,2136.92,2161.71,308740
2018/10/19,2130.06,2158.78,2117.62,2156.26,351771
2018/10/18,2158.8,2168.01,2146.61,2148.31,321762
2018/10/17,2169.44,2182.77,2159.37,2167.51,275159
2018/10/16,2156,2161.76,2140.19,2145.12,222512
2018/10/15,2155.34,2159.23,2141.28,2145.12,259176
2018/10/12,2131.66,2173.01,2129.13,2161.85,292573
2018/10/11,2176.16,2186.69,2129.67,2129.67,411919
2018/10/10,2256.03,2257.52,2222.95,2228.61,365683
2018/10/08,2258.73,2273.71,2253.83,2253.83,214644
2018/10/05,2269.94,2278.12,2250.99,2267.52,282139
2018/10/04,2311.06,2311.06,2270.22,2274.49,309502
2018/10/02,2338.28,2341.55,2308.9,2309.57,287868
2018/10/01,2349.64,2352.11,2333.32,2338.88,278310
2018/09/28,2356.13,2356.62,2337.47,2343.07,317870
2018/09/27,2331.7,2355.43,2331.7,2355.43,279230
2018/09/21,2332.04,2339.17,2325.12,2339.17,321703
2018/09/20,2314.41,2334.04,2311.56,2323.45,289085
2018/09/19,2319.22,2319.22,2301.79,2308.46,350949
2018/09/18,2287.73,2310.97,2287.42,2308.98,309235
2018/09/17,2314.55,2314.55,2295.26,2303.01,343167
2018/09/14,2304.7,2318.65,2304.15,2318.25,292236
2018/09/13,2285.28,2291.51,2281.63,2286.23,301308
2018/09/12,2286.28,2289.66,2271,2282.92,336830
2018/09/11,2286.91,2295.76,2275.13,2283.2,368210
2018/09/10,2277.35,2289.38,2276.6,2288.66,312612
2018/09/07,2278.08,2286.82,2264.9,2281.58,357560
2018/09/06,2288.8,2298.47,2284.5,2287.61,387510
2018/09/05,2310.9,2315.43,2288.01,2291.77,358187
2018/09/04,2308.96,2317.74,2302.17,2315.72,277014
2018/09/03,2317.93,2318.72,2302.17,2307.03,230513
2018/08/31,2298.13,2322.88,2295.72,2322.88,255908
2018/08/30,2313.11,2320.85,2305.46,2307.35,286926
2018/08/29,2304.66,2309.88,2300.21,2309.03,268214
2018/08/28,2312.14,2314.6,2299.45,2303.12,276889
2018/08/27,2297.32,2302.87,2289.41,2299.3,307044
2018/08/24,2276.16,2295.22,2271.35,2293.21,347291
2018/08/23,2282.57,2282.88,2268.06,2282.6,338386
2018/08/22,2273.68,2280.31,2268.91,2273.33,269270
2018/08/21,2248.04,2272.86,2244.59,2270.06,294337
2018/08/20,2257.35,2264.42,2245.06,2247.88,271600
2018/08/17,2244.61,2250.92,2240.14,2247.05,238377
2018/08/16,2233.05,2244.08,2218.09,2240.8,312519
2018/08/14,2249.86,2262.52,2247.37,2258.91,255216
